Issued To	Issued By	Expiration Date	Intended Purposes	Friendly Name	Status	Certificate Template
172.27.240.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/6/2022	Server Authentication, Client Authentication	<None>	    	
172.27.32.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/18/2022	Server Authentication, Client Authentication	<None>	    	
172.27.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/3/2022	Server Authentication, Client Authentication	<None>	    	
172.27.64.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/21/2022	Server Authentication, Client Authentication	<None>	    	
172.27.80.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/7/2023	Server Authentication, Client Authentication	<None>	    	
172.27.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/7/2022	Server Authentication, Client Authentication	<None>	    	
172.28.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/25/2022	Server Authentication, Client Authentication	<None>	    	
172.28.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/5/2023	Server Authentication, Client Authentication	<None>	    	
172.28.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/28/2022	Server Authentication, Client Authentication	<None>	    	
172.28.160.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/30/2022	Server Authentication, Client Authentication	<None>	    	
172.28.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/10/2023	Server Authentication, Client Authentication	<None>	    	
172.28.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/6/2022	Server Authentication, Client Authentication	<None>	    	
172.28.240.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/27/2022	Server Authentication, Client Authentication	<None>	    	
172.28.32.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/27/2022	Server Authentication, Client Authentication	<None>	    	
172.28.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	3/9/2023	Server Authentication, Client Authentication	<None>	    	
172.28.64.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	3/9/2023	Server Authentication, Client Authentication	<None>	    	
172.28.80.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/4/2022	Server Authentication, Client Authentication	<None>	    	
172.29.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/9/2022	Server Authentication, Client Authentication	<None>	    	
172.29.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.29.128.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.29.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/16/2022	Server Authentication, Client Authentication	<None>	    	
172.29.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/23/2022	Server Authentication, Client Authentication	<None>	    	
172.29.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/15/2022	Server Authentication, Client Authentication	<None>	    	
172.29.192.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/16/2022	Server Authentication, Client Authentication	<None>	    	
172.29.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/21/2022	Server Authentication, Client Authentication	<None>	    	
172.29.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/31/2022	Server Authentication, Client Authentication	<None>	    	
172.29.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/23/2022	Server Authentication, Client Authentication	<None>	    	
172.29.64.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/24/2022	Server Authentication, Client Authentication	<None>	    	
